#word,len,pattern,sortedword
Bontempo,8,ABCDEFGB,Bemnoopt
bonus,5,ABCDE,bnosu
bony,4,ABCD,bnoy
bonzes,6,ABCDEF,benosz
boo,3,ABB,boo
boob,4,ABBA,bboo
booboo,6,ABBABB,bboooo
booby,5,ABBAC,bbooy
boogie,6,ABBCDE,begioo
book,4,ABBC,bkoo
bookbind,8,ABBCADEF,bbdiknoo
bookcase,8,ABBCDEFG,abcekoos
bookend,7,ABBCDEF,bdeknoo
bookie,6,ABBCDE,beikoo
bookish,7,ABBCDEF,bhikoos
bookkeep,8,ABBCCDDE,beekkoop
bookkeeper,10,ABBCCDDEDF,beeekkoopr
bookkeeping,11,ABBCCDDEFGH,beegikknoop
booklet,7,ABBCDEF,bekloot
bookplate,9,ABBCDEFGH,abekloopt
bookseller,10,ABBCDEFFEG,beeklloors
bookshelf,9,ABBCDEFGH,befhkloos
bookshelves,11,ABBCDEFGHFD,beehkloossv
bookstore,9,ABBCDEBFG,bekooorst
boolean,7,ABBCDEF,abelnoo
boom,4,ABBC,bmoo
boomerang,9,ABBCDEFGH,abegmnoor
boomtown,8,ABBCDBEF,bmnoootw
boon,4,ABBC,bnoo
Boone,5,ABBCD,Benoo
boor,4,ABBC,boor
boorish,7,ABBCDEF,bhioors
boost,5,ABBCD,boost
boosterism,10,ABBCDEFGCH,beimoorsst
boot,4,ABBC,boot
bootblack,9,ABBCADEFG,abbckloot
booths,6,ABBCDE,bhoost
Bootle,6,ABBCDE,Beloot
bootleg,7,ABBCDEF,begloot
bootlegged,10,ABBCDEFFEG,bdeeggloot
bootlegger,10,ABBCDEFFEG,beeggloort
bootlegging,11,ABBCDEFFGHF,begggilnoot
bootstrap,9,ABBCDCEFG,abooprstt
bootstrapped,12,ABBCDCEFGGHI,abdeoopprstt
bootstrapping,13,ABBCDCEFGGHIJ,abginoopprstt
booty,5,ABBCD,booty
booze,5,ABBCD,beooz
bop,3,ABC,bop
bopping,7,ABCCDEF,bginopp
borate,6,ABCDEF,abeort
borax,5,ABCDE,aborx
Bordeaux,8,ABCDEFGH,Badeorux
bordello,8,ABCDEFFB,bdelloor
Borden,6,ABCDEF,Bdenor
border,6,ABCDEC,bdeorr
borderland,10,ABCDECFGHD,abddelnorr
borderline,10,ABCDECFGHE,bdeeilnorr
bore,4,ABCD,beor
